religion,total,geo_code,geo_level,geo_version
Bahai,1283,NP,country,2016
Bon,13006,NP,country,2016
Buddism,2396099,NP,country,2016
Christianity,375699,NP,country,2016
Hindu,21551492,NP,country,2016
Islam,1162370,NP,country,2016
Jainism,3214,NP,country,2016
Kirat,807169,NP,country,2016
Others,61581,NP,country,2016
Prakriti,121982,NP,country,2016
Sikhism,609,NP,country,2016
Bahai,179,3,province,2016
Bon,457,3,province,2016
Buddism,1287432,3,province,2016
Christianity,158864,3,province,2016
Hindu,3969041,3,province,2016
Islam,36988,3,province,2016
Jainism,921,3,province,2016
Kirat,22414,3,province,2016
Prakriti,41700,3,province,2016
Sikhism,154,3,province,2016
Others,11302,3,province,2016
Bahai,0,56,district,2016
Bon,1,56,district,2016
Buddism,30290,56,district,2016
Christianity,1862,56,district,2016
Hindu,10988,56,district,2016
Islam,9,56,district,2016
Jainism,0,56,district,2016
Kirat,6,56,district,2016
Prakriti,31,56,district,2016
Sikhism,0,56,district,2016
Others,113,56,district,2016
Bahai,0,29005,local,2016
Bon,0,29005,local,2016
Buddism,4354,29005,local,2016
Christianity,270,29005,local,2016
Hindu,3650,29005,local,2016
Islam,1,29005,local,2016
Jainism,0,29005,local,2016
Kirat,0,29005,local,2016
Prakriti,2,29005,local,2016
Sikhism,0,29005,local,2016
Others,21,29005,local,2016
Bahai,0,29001,local,2016
Bon,0,29001,local,2016
Buddism,6270,29001,local,2016
Christianity,381,29001,local,2016
Hindu,1432,29001,local,2016
Islam,4,29001,local,2016
Jainism,0,29001,local,2016
Kirat,6,29001,local,2016
Prakriti,15,29001,local,2016
Sikhism,0,29001,local,2016
Others,26,29001,local,2016
Bahai,0,29003,local,2016
Bon,0,29003,local,2016
Buddism,10474,29003,local,2016
Christianity,70,29003,local,2016
Hindu,1244,29003,local,2016
Islam,3,29003,local,2016
Jainism,0,29003,local,2016
Kirat,0,29003,local,2016
Prakriti,9,29003,local,2016
Sikhism,0,29003,local,2016
Others,33,29003,local,2016
Bahai,0,29002,local,2016
Bon,0,29002,local,2016
Buddism,4931,29002,local,2016
Christianity,58,29002,local,2016
Hindu,4491,29002,local,2016
Islam,1,29002,local,2016
Jainism,0,29002,local,2016
Kirat,0,29002,local,2016
Prakriti,2,29002,local,2016
Sikhism,0,29002,local,2016
Others,19,29002,local,2016
Bahai,0,29004,local,2016
Bon,1,29004,local,2016
Buddism,4261,29004,local,2016
Christianity,1083,29004,local,2016
Hindu,171,29004,local,2016
Islam,0,29004,local,2016
Jainism,0,29004,local,2016
Kirat,0,29004,local,2016
Prakriti,3,29004,local,2016
Sikhism,0,29004,local,2016
Others,14,29004,local,2016
Bahai,3,65,district,2016
Bon,3,65,district,2016
Buddism,90136,65,district,2016
Christianity,2897,65,district,2016
Hindu,190952,65,district,2016
Islam,179,65,district,2016
Jainism,0,65,district,2016
Kirat,1024,65,district,2016
Prakriti,9736,65,district,2016
Sikhism,0,65,district,2016
Others,1262,65,district,2016
Bahai,0,20008,local,2016
Bon,0,20008,local,2016
Buddism,4092,20008,local,2016
Christianity,148,20008,local,2016
Hindu,17474,20008,local,2016
Islam,15,20008,local,2016
Jainism,0,20008,local,2016
Kirat,1,20008,local,2016
Prakriti,226,20008,local,2016
Sikhism,0,20008,local,2016
Others,13,20008,local,2016
Bahai,0,20007,local,2016
Bon,0,20007,local,2016
Buddism,1128,20007,local,2016
Christianity,25,20007,local,2016
Hindu,14931,20007,local,2016
Islam,6,20007,local,2016
Jainism,0,20007,local,2016
Kirat,820,20007,local,2016
Prakriti,0,20007,local,2016
Sikhism,0,20007,local,2016
Others,58,20007,local,2016
Bahai,0,20004,local,2016
Bon,1,20004,local,2016
Buddism,19069,20004,local,2016
Christianity,520,20004,local,2016
Hindu,6539,20004,local,2016
Islam,7,20004,local,2016
Jainism,0,20004,local,2016
Kirat,0,20004,local,2016
Prakriti,1485,20004,local,2016
Sikhism,0,20004,local,2016
Others,106,20004,local,2016
Bahai,0,20006,local,2016
Bon,1,20006,local,2016
Buddism,17643,20006,local,2016
Christianity,95,20006,local,2016
Hindu,7207,20006,local,2016
Islam,0,20006,local,2016
Jainism,0,20006,local,2016
Kirat,0,20006,local,2016
Prakriti,2764,20006,local,2016
Sikhism,0,20006,local,2016
Others,112,20006,local,2016
Bahai,1,20001,local,2016
Bon,1,20001,local,2016
Buddism,10736,20001,local,2016
Christianity,420,20001,local,2016
Hindu,49941,20001,local,2016
Islam,53,20001,local,2016
Jainism,0,20001,local,2016
Kirat,113,20001,local,2016
Prakriti,3851,20001,local,2016
Sikhism,0,20001,local,2016
Others,528,20001,local,2016
Bahai,0,20002,local,2016
Bon,0,20002,local,2016
Buddism,10663,20002,local,2016
Christianity,149,20002,local,2016
Hindu,2792,20002,local,2016
Islam,39,20002,local,2016
Jainism,0,20002,local,2016
Kirat,0,20002,local,2016
Prakriti,118,20002,local,2016
Sikhism,0,20002,local,2016
Others,0,20002,local,2016
Bahai,0,20009,local,2016
Bon,0,20009,local,2016
Buddism,9444,20009,local,2016
Christianity,157,20009,local,2016
Hindu,26745,20009,local,2016
Islam,1,20009,local,2016
Jainism,0,20009,local,2016
Kirat,26,20009,local,2016
Prakriti,11,20009,local,2016
Sikhism,0,20009,local,2016
Others,36,20009,local,2016
Bahai,1,20003,local,2016
Bon,0,20003,local,2016
Buddism,2727,20003,local,2016
Christianity,125,20003,local,2016
Hindu,16356,20003,local,2016
Islam,2,20003,local,2016
Jainism,0,20003,local,2016
Kirat,0,20003,local,2016
Prakriti,235,20003,local,2016
Sikhism,0,20003,local,2016
Others,44,20003,local,2016
Bahai,1,20005,local,2016
Bon,0,20005,local,2016
Buddism,14634,20005,local,2016
Christianity,1258,20005,local,2016
Hindu,48967,20005,local,2016
Islam,56,20005,local,2016
Jainism,0,20005,local,2016
Kirat,64,20005,local,2016
Prakriti,1046,20005,local,2016
Sikhism,0,20005,local,2016
Others,365,20005,local,2016
Bahai,3,66,district,2016
Bon,5,66,district,2016
Buddism,109238,66,district,2016
Christianity,5280,66,district,2016
Hindu,169740,66,district,2016
Islam,38,66,district,2016
Jainism,1,66,district,2016
Kirat,24,66,district,2016
Prakriti,3104,66,district,2016
Sikhism,1,66,district,2016
Others,364,66,district,2016
Bahai,0,23011,local,2016
Bon,0,23011,local,2016
Buddism,2792,23011,local,2016
Christianity,385,23011,local,2016
Hindu,14082,23011,local,2016
Islam,1,23011,local,2016
Jainism,0,23011,local,2016
Kirat,0,23011,local,2016
Prakriti,10,23011,local,2016
Sikhism,0,23011,local,2016
Others,41,23011,local,2016
Bahai,0,23008,local,2016
Bon,0,23008,local,2016
Buddism,8342,23008,local,2016
Christianity,280,23008,local,2016
Hindu,6499,23008,local,2016
Islam,0,23008,local,2016
Jainism,0,23008,local,2016
Kirat,0,23008,local,2016
Prakriti,3,23008,local,2016
Sikhism,0,23008,local,2016
Others,20,23008,local,2016
Bahai,0,23007,local,2016
Bon,0,23007,local,2016
Buddism,12042,23007,local,2016
Christianity,387,23007,local,2016
Hindu,6779,23007,local,2016
Islam,4,23007,local,2016
Jainism,0,23007,local,2016
Kirat,0,23007,local,2016
Prakriti,13,23007,local,2016
Sikhism,0,23007,local,2016
Others,6,23007,local,2016
Bahai,0,23006,local,2016
Bon,1,23006,local,2016
Buddism,7466,23006,local,2016
Christianity,370,23006,local,2016
Hindu,18586,23006,local,2016
Islam,0,23006,local,2016
Jainism,0,23006,local,2016
Kirat,0,23006,local,2016
Prakriti,2095,23006,local,2016
Sikhism,1,23006,local,2016
Others,25,23006,local,2016
Bahai,0,23004,local,2016
Bon,0,23004,local,2016
Buddism,10354,23004,local,2016
Christianity,860,23004,local,2016
Hindu,35806,23004,local,2016
Islam,5,23004,local,2016
Jainism,0,23004,local,2016
Kirat,0,23004,local,2016
Prakriti,26,23004,local,2016
Sikhism,0,23004,local,2016
Others,53,23004,local,2016
Bahai,1,23003,local,2016
Bon,0,23003,local,2016
Buddism,9124,23003,local,2016
Christianity,404,23003,local,2016
Hindu,7149,23003,local,2016
Islam,0,23003,local,2016
Jainism,0,23003,local,2016
Kirat,0,23003,local,2016
Prakriti,82,23003,local,2016
Sikhism,0,23003,local,2016
Others,12,23003,local,2016
Bahai,0,23005,local,2016
Bon,0,23005,local,2016
Buddism,11253,23005,local,2016
Christianity,169,23005,local,2016
Hindu,6476,23005,local,2016
Islam,3,23005,local,2016
Jainism,1,23005,local,2016
Kirat,17,23005,local,2016
Prakriti,4,23005,local,2016
Sikhism,0,23005,local,2016
Others,41,23005,local,2016
Bahai,1,23001,local,2016
Bon,0,23001,local,2016
Buddism,5751,23001,local,2016
Christianity,699,23001,local,2016
Hindu,12609,23001,local,2016
Islam,8,23001,local,2016
Jainism,0,23001,local,2016
Kirat,0,23001,local,2016
Prakriti,3,23001,local,2016
Sikhism,0,23001,local,2016
Others,13,23001,local,2016
Bahai,1,23009,local,2016
Bon,0,23009,local,2016
Buddism,16920,23009,local,2016
Christianity,321,23009,local,2016
Hindu,27599,23009,local,2016
Islam,4,23009,local,2016
Jainism,0,23009,local,2016
Kirat,1,23009,local,2016
Prakriti,565,23009,local,2016
Sikhism,0,23009,local,2016
Others,62,23009,local,2016
Bahai,0,23012,local,2016
Bon,0,23012,local,2016
Buddism,431,23012,local,2016
Christianity,286,23012,local,2016
Hindu,12262,23012,local,2016
Islam,1,23012,local,2016
Jainism,0,23012,local,2016
Kirat,0,23012,local,2016
Prakriti,231,23012,local,2016
Sikhism,0,23012,local,2016
Others,14,23012,local,2016
Bahai,0,23002,local,2016
Bon,1,23002,local,2016
Buddism,10672,23002,local,2016
Christianity,801,23002,local,2016
Hindu,15379,23002,local,2016
Islam,10,23002,local,2016
Jainism,0,23002,local,2016
Kirat,2,23002,local,2016
Prakriti,53,23002,local,2016
Sikhism,0,23002,local,2016
Others,42,23002,local,2016
Bahai,0,23010,local,2016
Bon,3,23010,local,2016
Buddism,14091,23010,local,2016
Christianity,318,23010,local,2016
Hindu,6514,23010,local,2016
Islam,2,23010,local,2016
Jainism,0,23010,local,2016
Kirat,4,23010,local,2016
Prakriti,19,23010,local,2016
Sikhism,0,23010,local,2016
Others,35,23010,local,2016
Bahai,10,12,district,2016
Bon,48,12,district,2016
Buddism,75509,12,district,2016
Christianity,19682,12,district,2016
Hindu,472103,12,district,2016
Islam,6741,12,district,2016
Jainism,5,12,district,2016
Kirat,225,12,district,2016
Prakriti,3765,12,district,2016
Sikhism,7,12,district,2016
Others,1889,12,district,2016
Bahai,0,35002,local,2016
Bon,0,35002,local,2016
Buddism,6647,35002,local,2016
Christianity,1977,35002,local,2016
Hindu,15361,35002,local,2016
Islam,158,35002,local,2016
Jainism,0,35002,local,2016
Kirat,1,35002,local,2016
Prakriti,902,35002,local,2016
Sikhism,0,35002,local,2016
Others,21,35002,local,2016
Bahai,1,35006,local,2016
Bon,2,35006,local,2016
Buddism,10776,35006,local,2016
Christianity,4433,35006,local,2016
Hindu,42580,35006,local,2016
Islam,177,35006,local,2016
Jainism,0,35006,local,2016
Kirat,16,35006,local,2016
Prakriti,1851,35006,local,2016
Sikhism,1,35006,local,2016
Others,100,35006,local,2016
Bahai,1,35004,local,2016
Bon,0,35004,local,2016
Buddism,3480,35004,local,2016
Christianity,1432,35004,local,2016
Hindu,51073,35004,local,2016
Islam,683,35004,local,2016
Jainism,0,35004,local,2016
Kirat,0,35004,local,2016
Prakriti,37,35004,local,2016
Sikhism,0,35004,local,2016
Others,219,35004,local,2016
Bahai,0,35007,local,2016
Bon,0,35007,local,2016
Buddism,5069,35007,local,2016
Christianity,1429,35007,local,2016
Hindu,61708,35007,local,2016
Islam,1768,35007,local,2016
Jainism,0,35007,local,2016
Kirat,15,35007,local,2016
Prakriti,104,35007,local,2016
Sikhism,0,35007,local,2016
Others,133,35007,local,2016
Bahai,1,35003,local,2016
Bon,0,35003,local,2016
Buddism,8144,35003,local,2016
Christianity,4148,35003,local,2016
Hindu,31465,35003,local,2016
Islam,91,35003,local,2016
Jainism,0,35003,local,2016
Kirat,16,35003,local,2016
Prakriti,201,35003,local,2016
Sikhism,0,35003,local,2016
Others,832,35003,local,2016
Bahai,6,35001,local,2016
Bon,46,35001,local,2016
Buddism,38757,35001,local,2016
Christianity,5198,35001,local,2016
Hindu,236329,35001,local,2016
Islam,3527,35001,local,2016
Jainism,5,35001,local,2016
Kirat,177,35001,local,2016
Prakriti,642,35001,local,2016
Sikhism,6,35001,local,2016
Others,474,35001,local,2016
Bahai,1,35005,local,2016
Bon,0,35005,local,2016
Buddism,2636,35005,local,2016
Christianity,1065,35005,local,2016
Hindu,33587,35005,local,2016
Islam,337,35005,local,2016
Jainism,0,35005,local,2016
Kirat,0,35005,local,2016
Prakriti,28,35005,local,2016
Sikhism,0,35005,local,2016
Others,110,35005,local,2016
Bahai,29,38,district,2016
