disability,geo_code,geo_level,sex,total,geo_version
Blind/low vision,NP,country,Female,47396,2016
Blind/low vision,NP,country,Male,46577,2016
Deaf-Blind,NP,country,Female,4624,2016
Deaf-Blind,NP,country,Male,4791,2016
Deaf/hard of hearing,NP,country,Female,37821,2016
Deaf/hard of hearing,NP,country,Male,40729,2016
Intellectual disable,NP,country,Female,6578,2016
Intellectual disable,NP,country,Male,8236,2016
Mental disable,NP,country,Female,14134,2016
Mental disable,NP,country,Male,16670,2016
Multiple disable,NP,country,Female,18020,2016
Multiple disable,NP,country,Male,20349,2016
No disability,NP,country,Female,13375028,2016
No disability,NP,country,Male,12369014,2016
Physical,NP,country,Female,77846,2016
Physical,NP,country,Male,107433,2016
Speech problem,NP,country,Female,25566,2016
Speech problem,NP,country,Male,33016,2016
Blind/low vision,3,province,Female,8588,2016
Blind/low vision,3,province,Male,8379,2016
Deaf/hard of hearing,3,province,Female,6559,2016
Deaf/hard of hearing,3,province,Male,6780,2016
Deaf-Blind,3,province,Female,932,2016
Deaf-Blind,3,province,Male,881,2016
Intellectual disable,3,province,Female,1332,2016
Intellectual disable,3,province,Male,1647,2016
Mental disable,3,province,Female,2613,2016
Mental disable,3,province,Male,2807,2016
Multiple disable,3,province,Female,2966,2016
Multiple disable,3,province,Male,3363,2016
No disability,3,province,Female,2720411,2016
No disability,3,province,Male,2624865,2016
Physical,3,province,Female,13132,2016
Physical,3,province,Male,17975,2016
Speech problem,3,province,Female,4691,2016
Speech problem,3,province,Male,5897,2016
Blind/low vision,56,district,Female,71,2016
Blind/low vision,56,district,Male,93,2016
Deaf/hard of hearing,56,district,Female,91,2016
Deaf/hard of hearing,56,district,Male,86,2016
Deaf-Blind,56,district,Female,7,2016
Deaf-Blind,56,district,Male,10,2016
Intellectual disable,56,district,Female,8,2016
Intellectual disable,56,district,Male,20,2016
Mental disable,56,district,Female,23,2016
Mental disable,56,district,Male,25,2016
Multiple disable,56,district,Female,40,2016
Multiple disable,56,district,Male,50,2016
No disability,56,district,Female,21199,2016
No disability,56,district,Male,19958,2016
Physical,56,district,Female,129,2016
Physical,56,district,Male,193,2016
Speech problem,56,district,Female,67,2016
Speech problem,56,district,Male,63,2016
Blind/low vision,29005,local,Female,10,2016
Blind/low vision,29005,local,Male,11,2016
Deaf/hard of hearing,29005,local,Female,23,2016
Deaf/hard of hearing,29005,local,Male,21,2016
Deaf-Blind,29005,local,Female,0,2016
Deaf-Blind,29005,local,Male,2,2016
Intellectual disable,29005,local,Female,3,2016
Intellectual disable,29005,local,Male,3,2016
Mental disable,29005,local,Female,8,2016
Mental disable,29005,local,Male,8,2016
Multiple disable,29005,local,Female,11,2016
Multiple disable,29005,local,Male,9,2016
No disability,29005,local,Female,4293,2016
No disability,29005,local,Male,3725,2016
Physical,29005,local,Female,46,2016
Physical,29005,local,Male,49,2016
Speech problem,29005,local,Female,16,2016
Speech problem,29005,local,Male,17,2016
Blind/low vision,29001,local,Female,10,2016
Blind/low vision,29001,local,Male,14,2016
Deaf/hard of hearing,29001,local,Female,11,2016
Deaf/hard of hearing,29001,local,Male,28,2016
Deaf-Blind,29001,local,Female,2,2016
Deaf-Blind,29001,local,Male,2,2016
Intellectual disable,29001,local,Female,3,2016
